condition,dataset,n_runs_ok_e60,nmi_mean_e60,nmi_std_e60,ari_mean_e60,ari_std_e60,acc_mean_e60,nmi_trial_std_mean_e60,ari_trial_std_mean_e60,stability_pair_nmi_mean_e60,si_loss_mean_e60,modularity_mean_e60,conductance_mean_e60,conductance_weighted_mean_e60,pred_n_clusters_mean_e60,pred_cluster_size_cv_mean_e60,known_label_ratio_mean_e60,seconds_mean_e60,n_runs_ok_e20,nmi_mean_e20,nmi_std_e20,ari_mean_e20,ari_std_e20,acc_mean_e20,nmi_trial_std_mean_e20,ari_trial_std_mean_e20,stability_pair_nmi_mean_e20,si_loss_mean_e20,modularity_mean_e20,conductance_mean_e20,conductance_weighted_mean_e20,pred_n_clusters_mean_e20,pred_cluster_size_cv_mean_e20,known_label_ratio_mean_e20,seconds_mean_e20,delta_nmi_mean_e60_minus_e20,delta_ari_mean_e60_minus_e20,delta_acc_mean_e60_minus_e20,delta_nmi_std_e60_minus_e20,delta_ari_std_e60_minus_e20,delta_si_loss_mean_e60_minus_e20,delta_modularity_mean_e60_minus_e20,delta_conductance_mean_e60_minus_e20,delta_conductance_weighted_mean_e60_minus_e20,delta_seconds_mean_e60_minus_e20
G15_ECHF_main,urban_sydney_plot,3,0.0177936560672096,0.0021082897255656,0.0015453556921062,0.0005431698258117,0.031114416759638,0.0,7.228014483236696e-20,1.0,14.855780919392904,0.0046901858101288,0.9802563190460204,0.979393462340037,64.0,0.1293274958928426,0.1674137711524963,76.80234289169312,3,0.0099747982494424,0.0006316449864998,2.3195800934283178e-05,0.0001142236252211,0.0244617990992107,5.782411586589358e-19,0.0,1.0,14.87236499786377,0.000434199348092,0.983949383099874,0.983826756477356,64.0,0.0536983373264471,0.1674137711524963,28.59612234433492,0.0078188578177672,0.0015221598911719168,0.006652617660427299,0.0014766447390658,0.0004289462005906,-0.016584078470865293,0.0042559864620368,-0.003693064053853612,-0.004433294137318966,48.2062205473582
G15_ECHF_main,urban_tokyo_plot,3,0.0044479330461918,0.0002657639979081,0.0002403088675596,2.7020665008282947e-05,0.0249343301677106,0.0,0.0,1.0,15.97165044148763,0.0053049872318903,0.979472796122233,0.9788634379704794,64.0,0.1625588238239288,0.2875219285488128,129.21111194292703,3,0.0030980914196916,1.7318944858684744e-05,8.443995243633944e-06,1.5278954960504145e-05,0.0207179901663635,1.4456028966473392e-19,1.1293772630057337e-21,1.0,15.990296681722006,0.0005295450488726,0.9838565389315288,0.983814299106598,64.0,0.046711478382349,0.2875219285488128,49.33811863263448,0.0013498416265001999,0.00023186487231596607,0.0042163400013470985,0.00024844505304941525,1.1741710047778801e-05,-0.018646240234375,0.0047754421830177,-0.004383742809295765,-0.004950861136118645,79.87299331029254
G15_ECHF_main,urban_washingtondc_plot,3,0.0364565823234708,0.0031682095668366,0.0010327860932907,0.0006823275094551,0.0365698267074413,0.0,3.614007241618348e-20,1.0,13.601727485656738,0.0060012924174467,0.978993852933248,0.978046735127767,64.0,0.1346902499596277,0.1618611514568328,29.591434717178345,3,0.0302369630691781,0.0011479009111248,-4.41467567155663e-05,0.0001324092971956,0.0335117227319062,0.0,0.0,1.0,13.620534578959148,0.000548418611288,0.983842154343923,0.9837061166763306,64.0,0.0724188238382339,0.1618611514568328,13.177720626195272,0.006219619254292701,0.0010769328500062664,0.0030581039755350967,0.0020203086557118,0.0005499182122595001,-0.01880709330241004,0.005452873806158699,-0.004848301410674938,-0.005659381548563602,16.41371409098307
G17_V5_temp15,urban_bangkok_plot,3,0.0189659261065697,0.0017112726476553,0.0002052666800835,0.0001090753597794,0.0294965624306941,0.0,0.0,1.0,14.632506370544434,0.0041253535697857,0.9805566867192588,0.980026364326477,64.0,0.1681586851676305,0.0913788899779319,79.48206845919292,3,0.0188089484960863,0.0009056847618936,9.313529313847768e-05,0.000226426299353,0.0277962593331854,0.0,4.517509052022935e-21,1.0,14.6475035349528,0.0004117911060651,0.983959972858429,0.9838786323865256,64.0,0.0524497007330258,0.0913788899779319,28.30396286646525,0.00015697761048339906,0.00011213138694502232,0.0017003030975086993,0.0008055878857617001,-0.00011735093957359999,-0.01499716440836707,0.0037135624637206002,-0.0034032861391701807,-0.0038522680600485693,51.17810559272767
G17_V5_temp15,urban_beijing_plot,3,0.0135765934954394,0.0029304936077431,0.0003548816228222,0.0002845383467392,0.0384631105661148,0.0,0.0,1.0,15.935938517252604,0.0054313950240612,0.9794773062070212,0.9787084658940634,64.0,0.1213432426253954,0.0835236608982086,206.4558900197347,3,0.0096814681404964,0.000287884708467,2.693899238814401e-05,3.6453356372207946e-05,0.0248927038626609,0.0,0.0,1.0,15.953702608744305,0.0005377382040023,0.9838467240333556,0.9837979674339294,64.0,0.042852176974217,0.0835236608982086,77.33618243535359,0.0038951253549429996,0.000327942630434056,0.013570406703453903,0.0026426088992761,0.00024808499036699206,-0.017764091491700995,0.004893656820058901,-0.004369417826334376,-0.0050895015398660925,129.1197075843811
G17_V5_temp15,urban_boston_plot,3,0.0499968206234284,0.0021770533030468,-0.0004497749064734,0.0001256500458293,0.0379332897318508,2.312964634635743e-18,0.0,1.0,12.490585645039875,0.0054865982383489,0.9797027905782064,0.97841876745224,64.0,0.171044980486234,0.1673049628734588,18.621812740961712,3,0.0497358162608858,0.0040721803940906,-0.000495265803811,0.0006161994164459,0.0379332897318508,2.312964634635743e-18,9.03501810404587e-21,1.0,12.505630811055502,-9.266256044308344e-05,0.9844790895779928,0.9841450452804564,64.0,0.1106987322370211,0.1673049628734588,9.084107240041098,0.00026100436254259535,4.549089733760003e-05,0.0,-0.0018951270910438005,-0.0004905493706166,-0.015045166015626776,0.005579260798791984,-0.004776298999786377,-0.005726277828216442,9.537705500920614
G17_V5_temp15,urban_chicago_plot,3,0.0132284897328335,0.0006773099717189,0.0005052203052645,0.000163293849424,0.0292460907575143,0.0,0.0,1.0,15.471322695414225,0.0074833091348409,0.9777553876241049,0.97654128074646,64.0,0.1580001513163248,0.1205017492175102,92.00327285130818,3,0.0114221200459423,0.0009063248353933,5.056342627189738e-05,0.0001864860628418,0.0255959623270695,0.0,4.517509052022935e-21,1.0,15.49985376993815,0.0005082276960213,0.9838711818059286,0.9838193853696188,64.0,0.0486301680405934,0.1205017492175102,36.27107993761698,0.0018063696868912005,0.0004546568789926026,0.0036501284304448003,-0.00022901486367440005,-2.3192213417799984e-05,-0.02853107452392578,0.0069750814388196,-0.0061157941818237305,-0.00727810462315881,55.7321929136912
G17_V5_temp15,urban_johannesburg_plot,3,0.0359273135849247,0.0024347550180808,0.0009648523561524,0.000303521828854,0.0356234096692112,0.0,0.0,1.0,14.96355883280436,0.0061273456861575,0.978871524333954,0.977963368097941,64.0,0.1228608563542366,0.054990030825138,73.11589201291402,3,0.0285394794498981,0.0013514294001419,-0.0001313360598893,0.0001669038017821,0.0315521628498727,1.1564823173178713e-18,5.64688631502867e-22,1.0,14.985467274983725,0.0003735118856032,0.98402069012324,0.9839388330777488,64.0,0.0501981874306996,0.054990030825138,27.894314845403034,0.0073878341350266,0.0010961884160417,0.0040712468193385,0.0010833256179389001,0.00013661802707189998,-0.02190844217936494,0.0057538338005543,-0.0051491657892860365,-0.005975464979807721,45.221577167510986
G17_V5_temp15,urban_madrid_plot,3,0.0101626211891491,0.0010573458882538,0.0003940695207435,0.0002691841008319,0.0336656417901177,0.0,1.807003620809174e-20,1.0,14.956008593241371,0.0057396509995063,0.979162057240804,0.9783781170845032,64.0,0.1411123697956403,0.2143384963274002,76.41635815302531,3,0.0081413103506656,0.000409476279621,5.2435481626590784e-05,7.160510083673226e-05,0.024193297928507,0.0,0.0,1.0,14.9746462504069,-3.873556852340698e-05,0.9844104647636414,0.98434716463089,64.0,0.0529404953122139,0.2143384963274002,28.76428723335266,0.0020213108384834998,0.0003416340391169092,0.009472343861610697,0.0006478696086328001,0.00019757899999516774,-0.01863765716552912,0.005778386568029707,-0.005248407522837395,-0.00596904754638683,47.65207091967265
G17_V5_temp15,urban_melbourne_plot,3,0.0224812478787976,0.0014932127620923,0.0008242103625953,0.0003551431257998,0.0327287888263498,2.312964634635743e-18,0.0,1.0,14.457618395487469,0.0061058308929204,0.9788427551587424,0.9779664675394694,64.0,0.1298643325765927,0.1521167010068893,48.72427495320638,3,0.017045011139857,0.0010810242843579,-4.647736454642064e-05,0.0001538632640689,0.0270307831283441,0.0,4.517509052022935e-21,1.0,14.47856616973877,0.0003735131273667,0.9840008616447448,0.9839155077934264,64.0,0.0617783752580483,0.1521167010068893,20.93578592936198,0.0054362367389406,0.0008706877271417206,0.005698005698005704,0.00041218847773439996,0.00020127986173089997,-0.0209477742513009,0.0057323177655537,-0.005158106486002345,-0.005949040253957039,27.788489023844402
